logT,logg,logP,MGna,logbp_rp
3.693726948923647,4.614999771118164,1.1338581142479212,6.451203509852002,0.09797727344617649
3.6868149545073168,4.60699987411499,1.413969980689398,6.697075591273858,0.1018233780057911
3.6980135039391815,4.545000076293945,1.4440447839993569,6.2183154286850275,0.08065487384764661
3.686099771995916,4.6570000648498535,1.5255630701248215,6.662692781791593,0.11288023555628607
3.654465333520146,4.603000164031982,1.4771212547196624,7.336007760793505,0.18174751823771398
3.6884198220027105,4.5879998207092285,1.4951278876005998,6.246913166052771,0.11107551164681577
3.6611498572447867,4.65500020980835,1.3898745745934493,6.904545783008107,0.16541904774912145
3.6881527555915663,4.571000099182129,1.1942367582572804,6.436847821076055,0.10455460608235345
3.702775077901044,4.589000225067139,0.9956351778631862,6.283146667397119,0.08724339689410585
3.6658623002031554,4.617000102996826,1.449940993476537,6.8416141953768115,0.14084177473282694
3.623559390005437,4.636000156402588,1.471144967400176,7.592230367114073,0.23785705602626953
3.5770319856260313,4.72599983215332,1.6336704106726487,8.623124202027995,0.3060713786154541
3.7091002815511667,4.60699987411499,1.513217579740307,6.256187954849356,0.07376954643316522
3.6986224297020978,4.605999946594238,1.3176455575718011,5.9852175020290055,0.06408144997048387
3.6769678142947586,4.589000225067139,1.5584685661870386,6.66940727261643,0.1252544299299384
3.6904618932461783,4.576000213623047,1.3416323176720215,6.169097188521345,0.08263441777988009
3.6837672614253116,4.572999954223633,0.9925535144614297,6.484928285409332,0.10338362004503941
3.70104963072914,4.61299991607666,1.4350476340390377,5.8956884800335345,0.038683612784409245
3.674677467873199,4.627999782562256,1.278524959502572,6.676545057659734,0.14110040998270718
3.6484575942825224,4.609000205993652,1.4380674516618834,7.081144624158137,0.1790241994134909
3.689042339028172,4.611000061035156,1.5282737771670438,6.113299727840509,0.06509907360470424
3.638988159343682,4.688000202178955,1.365675123325005,7.2291503268260495,0.2054893776926091
3.673020907128896,4.617000102996826,1.5102768587433755,6.695975115207272,0.14906011945480607
3.63205216670581,4.675000190734863,1.5041989226902797,7.126820315200314,0.16969814624277965
3.594282028811806,4.7230000495910645,1.2273724206975485,7.801504007601386,0.2556610248279556
3.6290016192869916,4.705999851226807,1.6035773615477718,6.098851150324505,0.17886810118290689
3.7065471026403576,4.507999897003174,1.6607706522110008,5.656366812808113,0.07556210669230877
3.668012971641832,4.6020002365112305,1.4891143715276898,7.527749061484199,0.2228751806784546
3.6483600109809315,4.6620001792907715,1.338655654944208,6.809354180264018,0.14444309003648115
3.696967640744023,4.605999946594238,1.4500950840992815,6.135336796764507,0.07423058892884321
3.6665179805548807,4.642000198364258,1.3807537832136525,6.723033908662076,0.1371450805955532
3.6935510855959133,4.617000102996826,1.717920022030671,6.221226226717189,0.10650716747585134
3.6639834546082666,4.623000144958496,1.4922014439251128,6.355057166224132,0.11322246022595825
3.6799726942774185,4.499000072479248,1.338655654944208,6.835324757881306,0.136960789186718
3.611510887126656,4.646999835968018,1.1911714482611317,7.9779735590965615,0.26293580503821445
3.586587304671755,4.751999855041504,1.2332500250333451,8.180952718633405,0.2741102821727515
3.6591552809406296,4.620999813079834,1.293583510125411,7.014981946688756,0.16987831066962697
3.6104472214421213,4.7129998207092285,1.0856472991783144,6.833806480539794,0.21528617938235364
3.6863681034730362,4.63100004196167,0.9863237582440346,6.414205129777779,0.08305228965083944
3.6502103546603593,4.6479997634887695,1.3085644217022805,6.91539443522915,0.14226785915557727
3.698448538015329,4.541999816894531,1.0496056140728518,6.4073145694026366,0.11725120492724737
3.670060217473134,4.607999801635742,1.5493711560739662,6.632765305075322,0.1293510232194326
3.659440781870318,4.61299991607666,1.2513948537546826,6.337028870106835,0.19302753939651415
3.6810602436318116,4.613999843597412,1.2422928879133053,6.418760870714616,0.0991108169334481
3.6871721045948,4.553999900817871,1.540329484339588,6.46304606420682,0.1056383423400754
3.698709349442587,4.689000129699707,0.43456890860231073,6.256943031283839,0.04597944083233155
3.591064607026499,4.7270002365112305,1.3537239361215425,8.082255981322893,0.2592389884306806
3.6828667956623247,4.480999946594238,1.4350476340390377,6.397219531399228,0.11597513265441316
3.703033304733686,4.488999843597412,1.416973186556881,5.931147572613408,0.05155620933722081
3.588047496986083,4.74399995803833,1.3298045392194942,8.046854943039843,0.254203114674049
3.6869935662646784,4.650000095367432,1.2452658432248336,6.259884171340648,0.09579794308338234
3.673020907128896,4.627999782562256,1.1338581142479212,6.389240401535924,0.09656295994445714
3.6873505695580273,4.578999996185303,1.091666971010275,6.66835179394594,0.11309960103143184
3.638289535414257,4.671999931335449,1.293583510125411,7.251248536338288,0.18136634476323893
3.7091851295502454,4.591000080108643,1.0678144955726852,6.264835987385759,0.07350455887898961
3.568788212315347,4.797999858856201,1.4650852920994533,8.099157297120215,0.3000321443551574
3.7091002815511667,4.60699987411499,1.5342800206973264,6.095151391565491,0.06264999957011046
3.544564097496043,4.935999870300293,1.9316612520942336,12.080248752113462,0.47404535451842583
3.7104558643354246,4.579999923706055,1.3624824920084864,5.663359060528689,0.04614145858610662
3.6434526764861874,4.659999847412109,1.401917242637898,7.17110918978487,0.1809935680672993
3.6219029608912305,4.656000137329102,1.2062860423518578,7.661254840800076,0.22549175047423545
3.69888313675259,4.544000148773193,1.5493711560739662,6.189873540045944,0.09518529271172858
3.68556261115823,4.580999851226807,1.3265406497702874,6.60146121536466,0.10844513649811337
3.670709595223797,4.5980000495910645,1.350635609736833,6.7215629001433115,0.13909419278999474
3.6751365044679942,4.5879998207092285,1.371806475398175,6.68857888693096,0.13785275718327894
3.6290016192869916,4.635000228881836,1.4320067019740534,7.245498633311723,0.20789155617857205
3.7132384615456617,4.511000156402588,1.1099158668825713,6.140445792368341,0.0633997930433914
3.600537294364469,4.6479997634887695,1.5583484867760802,8.104523950378509,0.3079030356612403
3.5593080109070123,4.828000068664551,1.4951278876005998,8.257912180894433,0.32326598499420983
3.651762447380111,4.665999889373779,1.230704319456315,6.8870655461745365,0.1461234755622374
3.683677298818692,4.558000087738037,1.0707764797341937,6.497792772427903,0.10492592985281313
3.6854730197227594,4.627999782562256,1.6365881975006273,6.265585072005576,0.08032796921343804
3.670802284260944,4.625999927520752,0.9836262922855998,6.697574971669967,0.10663224532971753
3.6264430253312945,4.673999786376953,1.5794406111019943,7.690284790279568,0.24155253179057845
3.686725621074542,4.573999881744385,1.278524959502572,6.350703400253838,0.13167190546070157
3.7056926965377035,4.526000022888184,1.4289442962057866,5.833023910525691,0.07940821416941418
3.6886867242841235,4.617000102996826,1.5373152615737486,6.53259847444459,0.09178217980086363
3.7060346607143506,4.605000019073486,1.3778524342758969,6.236154002989469,0.0838796688154843
3.594282028811806,4.704999923706055,1.3147096801125226,7.78639888902976,0.2471662751217214
3.6854730197227594,4.534999847412109,1.5104109398264067,6.6794915479999215,0.12071877058143006
