,P,Perr,Pflag,PC,source_id
0,0.4324481651956037,0.0193321808769412,33.0,0.52,3198972700981234048
1,0.8342069196366595,0.0087470164683964,33.0,0.87,5181474045115843072
2,0.8364789336087339,0.0365338702977423,33.0,0.82,2516948215250061568
3,0.5734845130816852,0.0481987166456364,2.0,0.56,3245408684793798528
4,0.9455535825844612,0.0140051087191707,33.0,0.94,6628071944405827712
5,0.7762725006273463,0.0183983668634935,1.0,0.79,2988966044497883392
6,1.2501228694184832,0.0327942458462731,33.0,1.24,2456987757379368064
7,1.7485947282012462,0.1266401902592794,4.0,1.71,3186195241994234880
8,0.9074952725527902,0.0118403646859852,1.0,0.91,2988096919213031808
9,0.9690226968861974,0.0131611721483521,33.0,0.97,2987729922847457280
10,1.94991290363364,0.0588726103823422,1.0,1.97,3204844780267292288
11,1.4380683034112738,0.0302184067910993,33.0,1.44,2405544971274027904
12,2.232915394014484,0.0980622332741163,33.0,2.26,3190206672727634816
13,1.3073359398885362,0.0256235743766957,33.0,1.29,5182223980765557248
14,1.7643739211793854,0.0982161394603228,1.0,1.7,2982998926174605824
15,2.6574955680828505,0.2290737375471717,100.0,2.67,2492898356897645184
16,3.1053629499758832,0.1850651280398873,1.0,3.08,3256702490277205376
17,2.6666456554473283,0.0898201132195589,17.0,2.55,5104477754084350464
18,2.551504295617566,0.0868316756355937,33.0,2.53,5147686052794315904
19,3.1130778558731453,0.1931890828101458,228.0,2.85,3197608241410937216
20,2.3782155645741407,0.1353556709099976,1.0,2.38,2489889607752127360
21,2.969714791797564,0.124925415711482,33.0,3.1,2346216668164370432
22,2.9526453965381947,0.115569934165137,33.0,3.0,5129126330877050240
23,5.379585279146324,0.1946749878362778,33.0,5.69,5070969209513725568
24,,,,3.84,2493286445846897664
25,3.9028800001713497,0.2775620264399834,1.0,3.96,3197753548744455168
26,4.305797987219451,0.3110462525289637,145.0,4.3,2513568007268649728
27,4.532262960193921,0.4146181722130886,4.0,4.78,5179904664065847040
28,4.57948281831611,0.4345388759870416,532.0,5.32,5168681021169216896
29,4.770801292603956,0.3157943458800385,1.0,4.83,3253302456727341696
30,5.205498605028263,0.4060452373616355,17.0,5.11,3176016268285396864
31,5.02607786556323,0.3614846207734641,20.0,4.87,2531732317316926336
32,5.4603461953774985,0.4415966846079321,33.0,5.0,2495781619982992640
33,5.418845870863088,0.2142506827585958,33.0,5.21,2968825259219765120
34,5.01888315038333,0.3966558617367691,17.0,5.02,4844691297067063424
35,5.191450449519887,0.5191450449519887,161.0,5.45,2496200774431287424
36,5.338828011302208,0.4242410791380927,36.0,5.24,4980826504625538048
