fidelity_v2,source_id
1.0,2050232089348169856
1.0,2050232639104043904
1.0,2050236830992083328
1.0,2050238617698593408
1.0,2050238342820749824
1.0,2050238136662521856
1.0,2050253667263886720
1.0,2051741547012578560
1.0,2051741650091842688
1.0,2051695333163049344
1.0,2051692378225545856
1.0,2051695470602017280
1.0,2050254491897606784
1.0,2050257790432779392
1.0,2050245901963299328
1.0,2051746700973396352
1.0,2051744914267116544
1.0,2051700796361622912
1.0,2051699937368191744
1.0,2051700349685078656
1.0,2051723954825689856
1.0,2051006764005686144
1.0,2051012845679752320
1.0,2051011849247042688
1.0,2051011540009372288
1.0,2050262806954650624
1.0,2050261703139922176
1.0,2050262188479285632
1.0,2050259302261304192
1.0,2051748693838372096
1.0,2051748728198135040
1.0,2051748762557889536
1.0,2051745464022994560
1.0,2051745567102238464
1.0,2051703957457526784
1.0,2051724092264677248
1.0,2051724573301083520
1.0,2051713646904422528
1.0,2051023772076110336
1.0,2051017518603886720
1.0,2051016419092259584
1.0,2051016797049427968
1.0,2051014804184830080
1.0,2051764877275416192
1.0,2051763709044322944
1.0,2051750205666895232
1.0,2051752610848750592
1.0,2051729452383829888
1.0,2051727528238617600
1.0,2051713917478272256
1.0,2099066108017248128
1.0,2051027208049976320
1.0,2051024287472276992
1.0,2051030197347551872
1.0,2051018996072807936
1.0,2052517011944900736
1.0,2051767282457162752
1.0,2051763434166485632
1.0,2051763021849293184
1.0,2051768072730903552
1.0,2051757283773164544
1.0,2051753504201995392
1.0,2051731754486498048
1.0,2051733781711156864
1.0,2051733575552804864
1.0,2051721515284659968
1.0,2051721996321083776
1.0,2099066967010769920
1.0,2051032293291440256
1.0,2051032155852580608
1.0,2051031880974676608
1.0,2052533126665386880
1.0,2052519142248798080
1.0,2052519275385763456
1.0,2052518077096894208
1.0,2052519417126758016
1.0,2052518317615126400
1.0,2052524399288853248
1.0,2051773879526977408
1.0,2051774566721779200
1.0,2051770374833464704
1.0,2051770168675039232
1.0,2051783568973541504
1.0,2051737492562927104
1.0,2051739554147359872
1.0,2051736255612480640
1.0,2051723817387301120
1.0,2051723576869159936
1.0,2051814458376084736
1.0,2051815076851443840
1.0,2051632798442605056
1.0,2099073838958598016
1.0,2099026766117046528
1.0,2099028277945715328
1.0,2099028277945570048
1.0,2099028827701529984
1.0,2099028071787210368
1.0,2051086306802003712
1.0,2051082114913496832
1.0,2051035935423885824
1.0,2052537833946674176
1.0,2052534466692029184
1.0,2052533676418049024
1.0,2052533813857037312
1.0,2052521994107043328
1.0,2052522784381117952
1.0,2052519554565731456
1.0,2052525842397883008
1.0,2051774291843850112
1.0,2052526632671920000
1.0,2051771955381705216
1.0,2051799202654676992
1.0,2051795801040568832
1.0,2051794667169193728
1.0,2051796453875641984
1.0,2051796591314613632
1.0,2051784118729389696
1.0,2051784290528090240
1.0,2051780682755569664
1.0,2051833837268331264
1.0,2051830710532193920
1.0,2051830332575103360
1.0,2051819921574463360
1.0,2051818650264172032
1.0,2051819440538228352
1.0,2051821570842126080
1.0,2051633691795826176
1.0,2051633416917919360
1.0,2051635066185382656
1.0,2051658259009408896
1.0,2051658048546306304
1.0,2099089060322561792
1.0,2099088648005681536
1.0,2099086105385109888
1.0,2099084799715020800
1.0,2099090950108265216
1.0,2099091087547239552
1.0,2099076931335095808
1.0,2099075999323003520
1.0,2099122767224469504
1.0,2099122114390514944
1.0,2051085379088881792
1.0,2051085619607113600
1.0,2051084210857805568
1.0,2051085001131858816
1.0,2051037481612144896
1.0,2052538658580396160
1.0,2052538177544090368
1.0,2052536803154591104
1.0,2052536047240144896
1.0,2052527938341973504
1.0,2051776593946374400
1.0,2051797274209237376
1.0,2051796694393841664
1.0,2051797415948373120
1.0,2051790750159187456
1.0,2051789547568156544
1.0,2051835314737106176
1.0,2051835005499426560
1.0,2051832634677771008
1.0,2051823907304498560
1.0,2051657193857592064
1.0,2051662863214226560
1.0,2099839580086371840
1.0,2099839167769193472
1.0,2099840817036639488
1.0,2099089781877063296
1.0,2099090537791384064
1.0,2099091602943360768
1.0,2099079542675199488
1.0,2099081707338795136
