KIC,source_id
892834,2050232089348169856
893033,2050232639104043904
1026287,2050236830992083328
1026992,2050238617698593408
1027277,2050238342820749824
1027330,2050238136662521856
1160947,2050253667263886720
1163090,2051741547012578560
1163303,2051741650091842688
1163994,2051695333163049344
1164071,2051692378225545856
1164102,2051695470602017280
1292688,2050254491897606784
1293861,2050257790432779392
1293993,2050245901963299328
1294535,2051746700973396352
1295195,2051744914267116544
1296779,
1296787,2051700796361622912
1297058,2051699937368191744
1297166,2051700349685078656
1297303,2051723954825689856
1429893,2051006764005686144
1429921,2051012845679752320
1430330,2051011849247042688
1430349,2051011540009372288
1430893,2050262806954650624
1431060,2050261703139922176
1431116,2050262188479285632
1431287,2050259302261304192
1432700,2051748693838372096
1432745,2051748728198135040
1432847,2051748762557889536
1433040,2051745464022994560
1433104,2051745567102238464
1433755,2051703957457526784
1434976,2051724092264677248
1435260,2051724573301083520
1435987,2051713646904422528
1569682,2051023772076110336
1570711,2051017518603886720
1570915,2051016419092259584
1571003,2051016797049427968
1571364,2051014804184830080
1572038,2051764877275416192
1572433,2051763709044322944
1573478,2051750205666895232
1574944,2051752610848750592
1575424,2051729452383829888
1576141,2051727528238617600
1577167,2051713917478272256
1701553,2099066108017248128
1717515,2051027208049976320
1717999,2051024287472276992
1718071,2051030197347551872
1719166,2051018996072807936
1719358,2052517011944900736
1720196,2051767282457162752
1720670,2051763434166485632
1720673,2051763021849293184
1721157,2051768072730903552
1721911,2051757283773164544
1722506,2051753504201995392
1723529,2051731754486498048
1724234,2051733781711156864
1724498,2051733575552804864
1724806,2051721515284659968
1725330,2051721996321083776
1849590,2099066967010769920
1865477,2051032293291440256
1865864,2051032155852580608
1865925,2051031880974676608
1866058,2052533126665386880
1866924,2052519142248798080
1866985,2052519275385763456
1866986,2052518077096894208
1867210,2052519417126758016
1867358,2052518317615126400
1867462,2052524399288853248
1867645,2051773879526977408
1868233,2051774566721779200
1868524,2051770374833464704
1868579,2051770168675039232
1869783,2051783568973541504
1871120,2051737492562927104
1871483,2051739554147359872
1871665,2051736255612480640
1872289,2051723817387301120
1872433,2051723576869159936
1873523,2051814458376084736
1873656,2051815076851443840
1874294,2051632798442605056
1996399,2099073838958598016
1996574,2099026766117046528
1996637,2099028277945715328
1996668,2099028277945570048
1996773,2099028827701529984
1996936,2099028071787210368
2010579,2051086306802003712
2010738,2051082114913496832
2011417,2051035935423885824
2011878,2052537833946674176
2012265,2052534466692029184
2012486,2052533676418049024
2012631,2052533813857037312
2012731,2052521994107043328
2013284,2052522784381117952
2013577,2052519554565731456
2013627,2052525842397883008
2014087,2051774291843850112
2014203,2052526632671920000
2015025,2051771955381705216
2015098,2051799202654676992
2015124,2051795801040568832
2015302,2051794667169193728
2015703,2051796453875641984
2015767,2051796591314613632
2016171,2051784118729389696
2016219,2051784290528090240
2016599,2051780682755569664
2018047,2051833837268331264
2018383,2051830710532193920
2018492,2051830332575103360
